Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1775311,HEART,0.3,VS2,M,EX,VG,GD,F,4.07-4.52×2.61,575.28,https://capitalwholesalediamonds.com/product/0-3-ct-heart-420/
1767945,HEART,0.31,VS1,M,EX,VG,VG,F,4.04-4.79×2.71,615.67,https://capitalwholesalediamonds.com/product/0-31-ct-heart-148/
1793192,HEART,0.31,VS1,M,VG,EX,VG,N,4.35-4.39×2.62,631.92,https://capitalwholesalediamonds.com/product/0-31-ct-heart-149/
1781403,HEART,0.3,SI1,N,EX,EX,VG,N,3.99-4.72×2.76,632.57,https://capitalwholesalediamonds.com/product/0-3-ct-heart-537/
1787984,HEART,0.34,SI2,J,VG,EX,VG,F,4.19-4.94×2.92,647.13,https://capitalwholesalediamonds.com/product/0-34-ct-heart-32/
1771391,HEART,0.3,SI2,I,EX,EX,GD,N,4.17-4.72×2.68,658.42,https://capitalwholesalediamonds.com/product/0-3-ct-heart-405/
1800054,HEART,0.29,SI1,J,VG,EX,FR,M,4.02-4.70×2.60,663.43,https://capitalwholesalediamonds.com/product/0-29-ct-heart-22/
1791135,HEART,0.3,SI1,J,EX,EX,GD,N,3.90-4.58×2.73,667.08,https://capitalwholesalediamonds.com/product/0-3-ct-heart-415/
1775296,HEART,0.3,VS1,J,GD,GD,GD,N,3.87-4.65×2.66,667.60,https://capitalwholesalediamonds.com/product/0-3-ct-heart-408/
1772595,HEART,0.3,SI1,J,GD,VG,FR,F,4.22-4.47×2.73,676.71,https://capitalwholesalediamonds.com/product/0-3-ct-heart-414/
1747964,HEART,0.31,VS2,L,EX,EX,VG,N,4.36-4.76×2.67,678.54,https://capitalwholesalediamonds.com/product/0-31-ct-heart-147/
1785263,HEART,0.31,VS1,L,EX,EX,VG,M,4.17-4.68×2.67,680.63,https://capitalwholesalediamonds.com/product/0-31-ct-heart-146/
1800053,HEART,0.3,SI2,I,VG,VG,GD,N,4.28-4.56×2.53,695.94,https://capitalwholesalediamonds.com/product/0-3-ct-heart-404/
1800794,HEART,0.29,VS1,I,GD,VG,GD,ST,4.28-4.67×2.56,697.73,https://capitalwholesalediamonds.com/product/0-29-ct-heart-20/
1787976,HEART,0.3,SI1,I,GD,VG,GD,N,4.29-4.55×2.53,702.57,https://capitalwholesalediamonds.com/product/0-3-ct-heart-401/
1800787,HEART,0.3,SI1,J,VG,VG,VG,F,4.19-4.60×2.71,709.66,https://capitalwholesalediamonds.com/product/0-3-ct-heart-413/
1787977,HEART,0.3,SI1,I,EX,EX,GD,ST,4.21-4.59×2.57,713.21,https://capitalwholesalediamonds.com/product/0-3-ct-heart-397/
1800731,HEART,0.3,VVS2,K,GD,EX,GD,N,4.22-4.45×2.43,716.22,https://capitalwholesalediamonds.com/product/0-3-ct-heart-417/
1795913,HEART,0.3,SI1,J,VG,EX,GD,F,4.01-4.58×2.73,718.28,https://capitalwholesalediamonds.com/product/0-3-ct-heart-412/
1779842,HEART,0.3,VS2,K,EX,EX,VG,N,4.04-4.70×2.76,720.29,https://capitalwholesalediamonds.com/product/0-3-ct-heart-419/
1800035,HEART,0.31,VS2,K,EX,EX,VG,F,4.25-4.77×2.71,730.96,https://capitalwholesalediamonds.com/product/0-31-ct-heart-145/
1789921,HEART,0.3,VS1,K,EX,VG,VG,F,3.97-4.70×2.70,732.97,https://capitalwholesalediamonds.com/product/0-3-ct-heart-418/
1775310,HEART,0.3,VS2,I,VG,EX,GD,M,4.07-4.53×2.74,734.49,https://capitalwholesalediamonds.com/product/0-3-ct-heart-395/
1800792,HEART,0.3,SI2,H,VG,EX,GD,N,4.24-4.74×2.85,737.53,https://capitalwholesalediamonds.com/product/0-3-ct-heart-371/
1741963,HEART,0.33,VVS2,J,EX,EX,GD,N,4.18-4.96×2.81,742.35,https://capitalwholesalediamonds.com/product/0-33-ct-heart-56/
1747962,HEART,0.35,VS1,J,EX,EX,EX,F,4.16-4.92×2.84,746.74,https://capitalwholesalediamonds.com/product/0-35-ct-heart-18/
1800785,HEART,0.3,SI1,F,VG,EX,VG,N,4.10-4.51×2.75,748.21,https://capitalwholesalediamonds.com/product/0-3-ct-heart-240/
1785298,HEART,0.3,SI1,I,GD,VG,GD,N,3.90-4.68×2.73,750.70,https://capitalwholesalediamonds.com/product/0-3-ct-heart-402/
1746097,HEART,0.3,VS1,I,VG,EX,VG,N,3.83-4.61×2.76,752.78,https://capitalwholesalediamonds.com/product/0-3-ct-heart-382/
1795846,HEART,0.3,VVS1,K,VG,EX,VG,F,3.82-4.59×2.76,753.77,https://capitalwholesalediamonds.com/product/0-3-ct-heart-416/
1771389,HEART,0.31,SI2,F,EX,EX,VG,N,4.02-4.78×2.80,756.65,https://capitalwholesalediamonds.com/product/0-31-ct-heart-86/
1778575,HEART,0.3,SI1,I,VG,EX,GD,N,4.16-4.55×2.73,758.34,https://capitalwholesalediamonds.com/product/0-3-ct-heart-403/
1769680,HEART,0.3,SI2,F,EX,EX,VG,N,4.16-4.61×2.73,760.87,https://capitalwholesalediamonds.com/product/0-3-ct-heart-250/
1793190,HEART,0.3,VS1,J,VG,EX,GD,N,4.03-4.65×2.75,761.35,https://capitalwholesalediamonds.com/product/0-3-ct-heart-410/
1793189,HEART,0.32,VS1,J,GD,VG,GD,N,3.95-4.75×2.93,761.50,https://capitalwholesalediamonds.com/product/0-32-ct-heart-85/
1771385,HEART,0.3,SI1,I,VG,EX,VG,N,4.19-4.58×2.58,762.92,https://capitalwholesalediamonds.com/product/0-3-ct-heart-396/
1757241,HEART,0.31,VS1,I,EX,EX,VG,M,4.10-4.82×2.78,762.92,https://capitalwholesalediamonds.com/product/0-31-ct-heart-137/
1771362,HEART,0.3,VS2,J,VG,EX,GD,N,4.31-4.56×2.51,764.89,https://capitalwholesalediamonds.com/product/0-3-ct-heart-411/
