Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1706332,CUSHION,0.9,SI1,K,EX,EX,VG,N,5.36-5.35×3.63,"1,983.72",https://capitalwholesalediamonds.com/product/0-9-ct-cushion-188/
1795579,CUSHION,0.61,SI1,F,EX,EX,EX,N,5.08-4.63×3.14,"1,984.55",https://capitalwholesalediamonds.com/product/0-61-ct-cushion-8/
1769457,CUSHION,0.71,SI1,I,EX,EX,EX,F,5.58-4.78×3.22,"1,985.53",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-35/
1597323,CUSHION,0.8,VS1,J,EX,EX,EX,N,5.51-5.08×3.46,"1,986.43",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-124/
1564556,CUSHION,0.72,SI1,F,EX,EX,VG,N,5.61-4.87×3.20,"1,986.78",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-14/
1778457,CUSHION,0.7,SI2,D,EX,VG,VG,N,5.60-4.75×3.21,"1,987.41",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-154/
1728490,CUSHION,0.72,SI1,H,EX,EX,EX,N,5.55-4.76×3.24,"1,988.03",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-47/
1631322,CUSHION,0.8,SI2,I,EX,VG,VG,N,5.28-5.15×3.48,"1,990.56",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-110/
1774078,CUSHION,0.7,SI1,I,EX,EX,VG,N,5.21-4.75×3.22,"1,990.94",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-138/
1632736,CUSHION,0.72,SI2,E,EX,VG,VG,F,5.28-4.81×3.26,"1,991.65",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-9/
1632738,CUSHION,0.75,SI2,G,EX,EX,VG,N,5.26-4.96×3.37,"1,992.81",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-18/
1793035,CUSHION,0.8,SI2,H,EX,EX,EX,N,5.94-4.76×3.24,"1,994.20",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-209/
1646009,CUSHION,0.59,VS2,E,EX,EX,VG,F,4.72-4.66×3.15,"1,994.45",https://capitalwholesalediamonds.com/product/0-59-ct-cushion-4/
203173-1479,CUSHION,0.96,SI2,FANCY,EX,EX,VG,F,5.63-5.25×3.56,"1,995.68",https://capitalwholesalediamonds.com/product/0-96-ct-cushion-3/
1654406,CUSHION,0.73,VVS1,FANCY,EX,EX,VG,N,5.20-4.93×3.29,"1,996.72",https://capitalwholesalediamonds.com/product/0-73-ct-cushion/
1766799,CUSHION,0.75,SI1,I,EX,EX,VG,F,5.27-5.10×3.40,"1,999.93",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-43/
200787-473,CUSHION,1,SI2,J,EX,VG,VG,N,5.77-5.60×3.78,"2,006.70",https://capitalwholesalediamonds.com/product/1-ct-cushion-91/
1626223,CUSHION,0.81,VS2,J,EX,EX,EX,M,5.41-5.18×3.45,"2,008.35",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-42/
1671478,CUSHION,0.73,SI2,D,EX,EX,EX,F,5.12-5.02×3.39,"2,009.44",https://capitalwholesalediamonds.com/product/0-73-ct-cushion-15/
1646005,CUSHION,0.7,SI2,G,EX,EX,VG,N,5.27-4.79×3.25,"2,012.64",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-44/
200688-301,CUSHION,1.2,,FANCY,EX,VG,VG,F,6.24-5.53×3.76,"2,014.29",https://capitalwholesalediamonds.com/product/1-2-ct-cushion-17/
1777326,CUSHION,0.7,VS2,I,VG,EX,VG,N,5.20-4.74×3.28,"2,014.41",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-135/
1652699,CUSHION,0.52,VVS2,E,EX,EX,VG,N,4.96-4.31×2.92,"2,014.58",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-5/
1622482,CUSHION,0.76,VVS2,J,VG,EX,VG,N,5.06-4.99×3.49,"2,014.73",https://capitalwholesalediamonds.com/product/0-76-ct-cushion-4/
1749085,CUSHION,0.7,SI2,D,EX,EX,EX,N,5.56-4.74×3.20,"2,015.51",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-152/
1795571,CUSHION,0.52,VVS2,D,EX,EX,EX,F,4.55-4.51×3.06,"2,015.68",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-53/
202157-1046,CUSHION,1.04,VS2,K,EX,EX,EX,F,6.42-5.35×3.59,"2,016.71",https://capitalwholesalediamonds.com/product/1-04-ct-cushion/
1773469,CUSHION,0.76,SI1,H,EX,EX,VG,N,5.64-4.91×3.33,"2,018.23",https://capitalwholesalediamonds.com/product/0-76-ct-cushion-13/
1606798,CUSHION,0.72,SI1,D,EX,EX,VG,ST,5.33-4.84×3.27,"2,018.99",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-33/
1746022,CUSHION,0.81,SI1,H,EX,EX,VG,N,5.77-4.95×3.35,"2,020.41",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-72/
1626231,CUSHION,0.71,VVS2,I,VG,EX,VG,N,5.17-4.77×3.34,"2,020.42",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-12/
1648830,CUSHION,0.71,SI1,H,EX,EX,VG,N,5.35-4.89×3.30,"2,021.49",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-10/
