Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
Eco Diamond 57237334,RADIANT,0.9,VS2,D,VG,EX,VG,N,6.19 – 6.23 x 3.74 mm,"2,009.48",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-17/
Eco Diamond 436073099,RADIANT,1.02,SI2,E,EX,EX,EX,N,6.33 – 6.37 x 4.01 mm,"2,016.50",https://capitalwholesalediamonds.com/product/1-02-ct-radiant-17/
Eco Diamond 414063762,RADIANT,1.03,SI2,E,EX,EX,EX,N,6.57 – 6.58 x 3.85 mm,"2,032.29",https://capitalwholesalediamonds.com/product/1-03-ct-radiant-7/
Eco Diamond 436071570,RADIANT,1.03,SI2,E,EX,EX,EX,N,6.54 – 6.55 x 3.89 mm,"2,032.29",https://capitalwholesalediamonds.com/product/1-03-ct-radiant-12/
Eco Diamond 57237331,RADIANT,0.9,VS1,E,EX,EX,EX,N,6.00 – 6.07 x 3.85 mm,"2,056.86",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-14/
Eco Diamond 57237332,RADIANT,0.9,VS1,E,VG,EX,VG,N,6.19 – 6.22 x 3.68 mm,"2,056.86",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-15/
Eco Diamond 57237333,RADIANT,0.9,VS1,E,VG,EX,EX,N,6.05 – 6.08 x 3.85 mm,"2,056.86",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-16/
210041-460,RADIANT,1,SI1,N,VG,EX,VG,N,6.31-4.90×3.40,"2,061.50",https://capitalwholesalediamonds.com/product/1-ct-radiant-25/
Eco Diamond 436054128,RADIANT,1,SI2,D,EX,EX,EX,N,6.36 – 6.40 x 4.02 mm,"2,062.13",https://capitalwholesalediamonds.com/product/1-ct-radiant-36/
Eco Diamond 436071571,RADIANT,1,SI2,D,EX,EX,EX,N,6.50 – 6.53 x 3.79 mm,"2,062.13",https://capitalwholesalediamonds.com/product/1-ct-radiant-38/
Eco Diamond 440008419,RADIANT,1,SI2,D,EX,EX,EX,N,6.28 – 6.35 x 3.98 mm,"2,062.13",https://capitalwholesalediamonds.com/product/1-ct-radiant-44/
Eco Diamond 436073100,RADIANT,1.05,SI2,E,EX,EX,EX,N,6.44 – 6.49 x 4.05 mm,"2,065.64",https://capitalwholesalediamonds.com/product/1-05-ct-radiant-4/
Eco Diamond 440020214,RADIANT,1.01,SI2,D,EX,EX,EX,N,6.44 – 6.46 x 3.96 mm,"2,079.68",https://capitalwholesalediamonds.com/product/1-01-ct-radiant-44/
