,Depth,Height,Width,Weight,Clarity,Cut,Polish,Symmetry,Fluorescence,Colour,Shape,Price
3860,4.85,3.18,2.17,0.32,80,40,40,30,10,4,30,1166.56
3861,3.92,3.93,2.43,0.23,70,40,40,40,10,1,90,946.26
3862,4.29,4.36,2.58,0.3,40,30,40,20,10,1,90,917.04
3863,3.98,4.7,2.61,0.3,60,20,30,20,10,14,10,974.3
3864,3.91,3.94,2.43,0.23,70,40,40,40,10,12,90,935.79
3865,4.42,4.47,2.5,0.31,70,40,20,20,10,1,90,914.37
3866,4.28,4.24,3.11,0.5,50,40,30,20,10,11,80,1263.39
3867,3.91,3.93,2.44,0.23,80,40,40,40,10,4,90,974.64
3868,4.62,4.61,3.43,0.65,80,30,40,20,10,11,80,1931.92
3869,5.56,4.74,3.2,0.7,40,40,40,40,10,4,60,2015.51
3870,5,5.08,3.06,0.5,50,20,40,20,20,12,90,2006.08
3871,5.06,5.08,3.18,0.5,50,40,40,40,10,5,90,1969.33
3872,3.99,4.71,2.82,0.3,60,40,40,20,10,4,10,1089.95
3873,5.62,5.24,3.55,0.9,50,40,40,30,10,7,60,2119.75
3874,4.83,3.56,2.4,0.4,60,40,40,30,10,3,30,1147.17
3875,3.67,3.69,2.31,0.19,100,40,40,40,10,4,90,885.12
3876,4.77,3.26,2.02,0.31,40,40,30,30,20,14,30,761.35
3877,3.73,3.75,2.35,0.2,70,40,40,40,10,4,90,871.69
3878,3.9,3.91,2.45,0.23,70,40,40,40,10,12,90,935.79
3879,6.41,4.4,2.71,0.5,50,40,40,30,10,1,70,1805.93
3880,4.38,4.34,2.72,0.43,50,40,40,30,40,6,60,683.22
3881,3.97,3.91,2.84,0.35,60,30,40,20,20,1,80,963.82
3882,5.65,3.64,2.44,0.5,70,40,40,30,20,5,30,1660.49
3883,3.93,3.96,2.4,0.23,70,40,40,40,10,1,90,935.79
3884,4.76,4.37,2.96,0.51,70,40,40,30,40,11,60,1129.73
3885,8.16,4.89,3.04,0.73,70,40,40,30,10,14,50,4395.96
3886,5.01,5.07,3.16,0.5,40,40,40,30,10,1,90,2073.7
3887,4.04,4.05,2.41,0.24,80,40,40,40,10,4,90,1040.04
3888,4.32,4.34,2.66,0.3,50,40,40,40,20,5,90,845
3889,6.4,4.05,2.44,0.4,70,40,30,30,10,12,70,1352.71
3890,6.02,4.48,2.81,0.49,60,30,40,30,10,1,70,1749.91
3891,5.1,4.69,3.26,0.7,30,40,40,30,10,2,60,1623.88
3892,3.72,3.75,2.34,0.2,70,40,40,40,10,1,90,824.69
3893,3.8,3.81,2.37,0.21,80,40,40,40,10,1,90,902.26
3894,4.36,4.3,3.08,0.48,50,40,40,30,10,12,80,1399.98
3895,4.5,3.27,2.21,0.32,80,40,30,20,10,6,30,662.5
3896,6.21,5.3,3.57,1,40,40,40,30,20,4,60,4542.4
3897,3.76,3.77,2.33,0.2,80,40,40,40,10,1,90,875.39
3898,4.31,3.26,2.22,0.29,60,20,30,20,10,4,30,869.3
3899,4.02,4.03,2.45,0.24,80,40,40,40,10,14,90,930.14
3900,6.19,6.05,4.11,1.2,40,40,30,30,40,11,60,3089.76
3901,5.06,5.09,3.16,0.5,50,40,40,30,60,4,90,2099.93
3902,3.95,3.98,2.4,0.23,60,40,40,40,10,1,90,951.72
3903,4.61,5.19,2.89,0.39,50,30,40,30,20,14,10,984.66
3904,5.05,5.11,3.11,0.5,50,20,30,30,10,12,90,2028.32
3905,4.92,4.98,3.17,0.5,80,30,30,30,10,7,90,1539.81
3906,6.99,4.48,2.73,0.5,70,40,30,30,10,12,50,2094.05
3907,4.73,3.21,2.17,0.31,50,40,40,20,10,4,30,906.48
3908,4.36,3.28,2.22,0.3,70,30,30,20,10,14,30,938.32
3909,4.9,3.58,2.39,0.41,80,40,30,30,10,14,30,1281.14
3910,6.37,6.36,4.15,1.5,60,40,40,30,10,2,60,2464.8
3911,8.8,5.45,3.42,0.96,70,40,30,30,10,4,50,7259.69
3912,4.91,4.19,2.89,0.5,70,30,40,30,20,6,60,840.29
3913,5.28,5.27,3.84,1.01,30,40,40,30,20,13,80,1842.25
3914,4.15,4.74,2.82,0.31,70,40,40,20,60,4,10,992.88
3915,6.64,4.4,2.72,0.5,70,40,40,30,10,3,70,1729.82
3916,4.94,4.98,3.21,0.5,50,20,30,30,10,4,90,2066.16
3917,5.89,5.63,3.53,1.01,20,40,30,30,10,2,60,1155.27
3918,5.97,5.01,3.35,0.83,60,40,40,30,10,1,60,3389.88
3919,3.97,3.99,2.42,0.23,80,40,40,40,10,14,90,900.42
3920,4.36,4.37,2.55,0.3,50,30,40,40,10,13,90,731.47
3921,4.92,3.64,2.32,0.4,60,30,40,20,10,14,30,1203.96
3922,5.41,5.44,3.3,0.59,50,40,40,40,20,3,90,2470.9
3923,4.51,4.53,2.81,0.35,80,40,40,40,20,12,90,1382
3924,4.47,5.11,3.01,0.4,50,40,40,30,10,5,10,800.42
3925,4.17,4.13,2.91,0.4,90,40,40,20,10,12,80,1418.92
3926,3.85,3.77,2.69,0.31,90,40,40,20,10,4,80,1063.62
3927,5.25,5.28,3.14,0.52,50,40,40,40,20,3,90,2353.97
3928,4.76,4.62,3.12,0.59,50,40,40,30,10,3,60,1515.87
3929,5.14,5.18,3.11,0.5,50,40,40,40,10,5,90,2018.05
3930,6.54,6.55,3.89,1.03,40,40,40,40,10,1,40,2032.29
3931,4.19,4.21,2.68,0.3,60,30,40,40,10,13,90,736.5
3932,4,4.02,2.4,0.23,80,40,40,40,10,14,90,910.94
3933,4.33,4.54,2.47,0.29,100,20,40,20,20,14,10,934.99
3934,6.81,5.58,3.79,1.21,90,40,40,30,40,15,60,2700.18
3935,3.88,3.92,2.46,0.23,70,40,40,40,10,1,90,935.79
3936,9.27,8.28,5.79,4.05,70,40,40,30,10,2,60,68738.52
3937,6.44,4.66,2.92,0.59,90,40,30,30,10,1,70,2305.73
3938,5.24,5.09,3.5,0.8,50,30,40,30,40,10,60,1196.5
3939,4.96,4.55,3.09,0.59,80,40,40,30,10,3,60,1773.02
3940,3.98,4.01,2.39,0.23,70,40,40,40,10,4,90,920.22
3941,5.29,5.32,3.27,0.56,60,40,40,40,10,11,90,2071.24
3942,4.93,4.98,3.17,0.5,40,30,30,30,20,3,90,1531.13
3943,5.11,5.13,3.2,0.52,50,40,40,40,10,3,90,2453.41
3944,6.22,6.2,4.31,1.29,40,30,40,40,20,4,60,6151.3
3945,3.93,3.95,2.44,0.23,70,40,40,40,10,1,90,935.79
3946,5.08,5.11,3.12,0.5,40,40,40,40,40,6,90,1025.4
3947,4.44,4.41,3.1,0.5,70,40,40,30,10,4,80,1817.35
3948,5.09,3.49,2.28,0.41,80,40,30,20,10,3,30,1262.33
3949,4.87,4.91,3.2,0.5,40,20,40,40,20,6,90,836.02
3950,7.16,5.97,4.06,1.5,40,40,40,30,10,5,60,5301.59
3951,5.97,5.59,3.8,1.19,20,40,30,20,40,2,60,3638.36
3952,3.95,3.98,2.44,0.23,70,40,40,40,10,1,90,941.25
3953,5.36,5.14,3.44,0.8,80,40,30,20,10,5,60,2200.95
3954,8.06,6.02,3.79,1.2,40,40,40,40,10,17,70,1820.77
3955,4.29,4.33,2.68,0.3,60,40,40,30,20,11,90,902.83
3956,4.29,4.31,2.69,0.3,90,40,40,40,10,7,90,875.99
3957,5.09,5.13,3.12,0.5,70,40,40,30,10,3,90,2453.69
3958,4.34,4.32,3.14,0.5,80,40,30,20,10,3,80,1718.73
3959,5.76,5,3.38,0.82,70,40,40,40,10,3,60,3248.18
3960,4.16,4.23,2.63,0.3,70,20,30,10,10,11,90,921.08
3961,8.23,7.98,5.09,3,90,40,40,40,40,8,60,12997.82
3962,4.85,4.93,3.25,0.5,60,20,30,20,10,12,90,2072.09
3963,4.67,4.42,2.99,0.55,80,40,40,30,10,8,60,1041.9
3964,5.41,4.94,3.35,0.75,50,40,30,30,10,1,60,2679.02
3965,5.45,5.47,3.42,0.63,60,40,40,40,10,7,90,2034.17
3966,5.19,3.87,2.36,0.3,40,40,40,30,10,4,70,891.64
3967,3.89,3.91,2.42,0.23,70,40,40,40,10,1,90,946.26
3968,5.09,4.87,3.29,0.72,100,40,40,20,10,9,60,1330.5
3969,5.76,4.97,3.28,0.8,90,40,40,40,20,11,60,2235.25
3970,3.78,3.78,2.71,0.31,60,40,30,30,10,11,80,754.5
3971,4.35,4.37,2.63,0.3,80,40,40,40,20,13,90,870.92
3972,4.07,4.65,2.75,0.3,70,20,30,20,10,4,10,1088.87
3973,5.25,5.28,3.25,0.55,80,40,40,40,60,13,90,1526.9
3974,5.15,5.17,3.07,0.5,40,40,40,30,10,12,90,2052.56
3975,4.88,4.68,3.15,0.61,60,40,40,30,10,14,60,2082.28
3976,5.97,5.67,3.85,1.2,50,40,40,30,20,8,60,1665.16
3977,9.58,5.57,3.22,1,70,40,40,30,70,3,50,5248.91
3978,4.19,4.23,2.63,0.29,70,20,30,10,10,12,90,933.54
3979,3.93,3.97,2.44,0.23,70,40,40,40,10,12,90,941.25
3980,3.93,3.95,2.48,0.23,70,40,40,40,10,1,90,951.72
3981,4.52,4.55,2.84,0.36,80,40,40,40,10,14,90,1366.92
3982,5.13,4.95,3.36,0.72,50,40,40,30,10,3,60,2094.93
3983,5.19,5.21,3.04,0.5,50,30,30,40,10,7,90,1507.62
3984,5.66,4.91,3.34,0.8,60,40,40,40,10,12,60,2854.04
3985,4.23,4.27,2.67,0.3,70,40,40,30,20,7,90,900.77
3986,4.48,4.43,3.18,0.51,60,40,40,30,10,6,80,926.9
3987,5.43,5.46,3.42,0.61,80,40,40,40,40,11,90,2104.08
3988,4.88,4.96,3.18,0.5,60,20,30,20,20,14,90,2041.76
3989,5.26,3.88,2.64,0.52,80,40,40,30,10,11,30,1424.73
3990,3.77,3.78,2.36,0.2,80,40,40,40,10,1,90,879.78
3991,5.16,4.21,2.85,0.51,60,40,40,30,20,5,60,1385.26
3992,7.06,7.03,4.77,2,60,40,40,30,40,4,60,19164.77
3993,4.33,4.35,2.66,0.3,60,40,40,40,10,7,90,855.16
3994,7.29,4.32,2.71,0.5,50,40,30,30,20,12,50,1582.79
3995,4.72,4.42,2.98,0.52,60,40,40,30,10,13,60,895.17
3996,4.03,4.05,2.4,0.24,80,40,40,40,10,14,90,930.14
3997,7.59,7.38,5,2.4,60,40,40,40,10,14,60,30474.04
3998,9.19,5.21,3.26,1,40,30,40,30,20,6,20,1987.62
3999,3.78,3.8,2.38,0.21,80,40,40,40,20,1,90,839.78
4000,4.1,4.78,2.68,0.3,60,40,20,40,10,14,10,1004.23
4001,3.88,3.9,2.33,0.21,70,40,40,40,10,1,90,857.18
4002,5.17,5.18,3.07,0.5,40,40,40,40,10,1,90,2110.84
4003,5.08,4.95,3.33,0.7,40,40,40,30,20,11,60,1601.56
4004,3.57,3.62,2.21,0.18,90,30,40,30,20,1,90,745
4005,5.24,4.86,3.3,0.7,50,40,40,40,10,5,60,2067.83
4006,3.83,3.85,2.34,0.21,100,40,40,40,10,1,90,933.86
4007,5.23,5.25,3.22,0.54,40,40,40,40,10,14,90,2063
4008,3.94,3.96,2.4,0.23,60,40,40,40,10,12,90,909.74
4009,5.04,5.07,3.17,0.5,40,40,40,40,40,1,90,2017.05
4010,3.89,3.91,2.42,0.23,70,40,40,40,10,12,90,935.79
4011,5.09,5.12,3.15,0.5,50,40,40,30,10,12,90,2337.35
4012,5.8,3.98,2.34,0.35,70,40,40,30,10,5,70,966.24
4013,6.48,4.1,2.37,0.4,60,40,40,30,10,12,70,1320.36
4014,6.37,4.32,2.75,0.5,60,30,40,30,10,4,70,1864.73
4015,9.76,6.44,4.05,1.5,40,40,40,40,10,3,50,7272.31
4016,4.99,4.25,2.88,0.51,40,40,40,40,20,5,60,1051.23
4017,5.92,5.39,3.66,1,50,40,40,30,40,12,60,3788.46
4018,4.69,4.71,2.94,0.4,50,40,40,40,10,12,90,1533.95
4019,4.03,4.65,2.75,0.3,70,30,40,20,10,11,10,761.35
4020,3.94,3.96,2.41,0.23,70,40,40,40,10,1,90,941.25
4021,4.55,3.38,2.2,0.31,80,30,40,20,10,1,30,975.06
4022,4.04,4.79,2.71,0.31,70,40,30,30,20,6,10,615.67
4023,5.69,4.95,3.36,0.8,70,40,40,30,10,14,60,3499.04
4024,5.4,3.83,2.39,0.3,70,40,40,30,10,3,70,930.75
4025,6.55,6.33,4.02,1.28,60,30,20,20,10,3,60,2850.12
4026,5.4,5.39,3.65,0.91,80,40,40,40,10,7,60,2158.66
4027,6.26,4.53,2.83,0.51,50,40,40,40,10,1,70,1600.6
4028,4.62,3.22,2.12,0.3,80,40,40,30,10,5,30,837.92
4029,3.95,3.98,2.38,0.23,70,40,40,40,10,1,90,941.25
4030,9.43,6.37,4,1.5,50,30,40,40,20,3,50,13326.63
4031,4.98,5.04,3.14,0.5,60,30,40,20,40,1,90,2109.38
4032,6.08,5.58,3.8,1.1,80,40,40,30,10,2,60,2536.14
4033,6.99,4.94,3.08,0.7,50,40,40,30,10,11,70,2064.13
4034,3.89,3.92,2.4,0.23,70,40,40,40,10,12,90,925.68
4035,4.13,4.17,2.69,0.3,40,30,40,30,10,12,90,946.42
