Depth,Height,Width,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price
5.05,4.35,2.94,60,0.55,40.0,1,40.0,40.0,30,10,1378.65
4.6,4.31,2.92,60,0.5,90.0,2,40.0,40.0,30,20,1379.74
4.71,4.35,2.94,60,0.51,60.0,3,40.0,40.0,30,10,1380.19
4.91,4.26,2.88,60,0.5,60.0,3,40.0,40.0,30,10,1380.61
4.7,4.46,3.01,60,0.53,50.0,4,40.0,30.0,30,10,1383.13
4.76,4.42,2.99,60,0.52,90.0,5,40.0,40.0,30,10,1384.24
5.16,4.21,2.85,60,0.51,60.0,5,40.0,40.0,30,20,1385.26
4.91,4.17,2.9,60,0.5,50.0,1,30.0,40.0,30,10,1385.91
4.48,4.38,3.04,60,0.5,80.0,5,40.0,40.0,30,10,1385.94
4.55,4.5,3.02,60,0.51,50.0,5,40.0,40.0,40,10,1387.05
4.89,4.24,2.84,60,0.5,50.0,4,40.0,40.0,20,10,1389.25
5.05,4.21,2.83,60,0.5,70.0,5,40.0,40.0,30,10,1390.19
4.69,4.5,3.04,60,0.55,90.0,5,40.0,40.0,30,10,1391.02
4.78,4.52,3.04,60,0.55,70.0,3,40.0,40.0,40,60,1392.9
6.09,5.11,3.47,60,0.91,50.0,6,40.0,40.0,40,20,1393.76
4.64,4.48,3.03,60,0.52,70.0,3,40.0,40.0,30,40,1319.56
4.63,4.33,2.92,60,0.5,90.0,5,40.0,40.0,30,10,1320.14
5.73,4.71,3.2,60,0.71,70.0,7,40.0,40.0,30,10,1320.7
6.01,5.64,3.83,60,1.12,10.0,2,40.0,30.0,30,20,1323.08
4.53,4.43,3.0,60,0.51,80.0,5,40.0,40.0,30,10,1324.64
6.51,5.31,3.27,60,1.0,30.0,8,40.0,30.0,20,20,1325.01
4.69,4.47,3.03,60,0.52,90.0,5,40.0,40.0,30,10,1326.87
5.21,4.87,3.21,60,0.72,60.0,2,40.0,40.0,40,20,1328.48
5.23,5.2,3.53,60,0.82,70.0,6,40.0,40.0,40,40,1329.81
5.09,4.87,3.29,60,0.72,100.0,9,40.0,40.0,20,10,1330.5
5.13,4.12,2.78,60,0.5,40.0,3,40.0,40.0,30,10,1330.91
4.67,4.28,2.9,60,0.5,40.0,1,40.0,40.0,30,10,1331.01
5.47,4.97,3.38,60,0.8,50.0,10,40.0,40.0,30,40,1332.09
4.62,4.4,2.99,60,0.52,50.0,5,40.0,40.0,30,10,1332.82
4.7,4.45,3.01,60,0.53,70.0,11,40.0,40.0,40,10,1422.74
4.62,4.48,2.97,60,0.51,70.0,2,40.0,30.0,30,20,1424.23
5.19,4.29,2.9,60,0.53,70.0,5,40.0,40.0,30,10,1424.37
5.01,4.28,2.79,60,0.5,60.0,1,40.0,40.0,30,40,1429.01
4.57,4.47,3.03,60,0.52,90.0,5,40.0,40.0,30,10,1430.13
4.76,4.2,2.94,60,0.5,60.0,12,30.0,40.0,40,60,1436.5
5.7,4.78,3.23,60,0.75,70.0,13,40.0,40.0,30,20,1437.68
4.96,4.21,2.87,60,0.5,60.0,3,30.0,40.0,30,10,1439.96
5.87,5.18,3.61,60,0.94,50.0,6,30.0,40.0,30,20,1441.31
5.28,4.81,3.26,60,0.7,50.0,5,40.0,40.0,30,10,1444.75
5.34,4.27,2.86,60,0.55,60.0,3,40.0,40.0,30,10,1445.15
4.49,4.46,3.01,60,0.5,60.0,14,40.0,40.0,30,20,1447.35
4.77,4.32,2.85,60,0.5,60.0,14,30.0,40.0,20,10,1450.02
4.69,4.34,2.92,60,0.5,70.0,5,40.0,40.0,30,10,1450.05
5.55,4.67,3.17,60,0.72,30.0,2,40.0,30.0,20,40,1054.14
4.95,4.0,2.68,60,0.44,50.0,4,40.0,30.0,20,40,1059.29
4.78,3.89,2.64,60,0.4,60.0,5,40.0,40.0,30,10,1065.38
4.63,4.57,3.1,60,0.55,60.0,15,40.0,40.0,40,10,1067.66
4.66,3.98,2.64,60,0.41,50.0,12,40.0,40.0,30,10,1071.87
3.95,3.78,2.53,60,0.31,90.0,1,40.0,40.0,30,10,1072.54
4.74,4.48,3.04,60,0.55,90.0,7,40.0,40.0,30,10,1075.21
5.23,4.75,3.22,60,0.7,60.0,10,40.0,40.0,30,40,1078.14
4.25,4.06,2.74,60,0.4,70.0,5,40.0,40.0,30,10,1078.32
4.66,4.6,3.11,60,0.61,90.0,9,40.0,40.0,30,10,1087.25
5.59,4.85,3.27,60,0.75,50.0,7,40.0,40.0,30,10,1087.54
4.7,4.41,2.97,60,0.52,50.0,7,40.0,30.0,30,20,1094.65
4.97,4.53,3.06,60,0.59,40.0,12,40.0,40.0,30,10,1094.8
4.31,4.29,2.91,60,0.5,60.0,2,40.0,40.0,20,10,1103.97
6.51,5.28,3.58,60,1.02,50.0,2,40.0,40.0,40,20,1105.68
4.98,4.25,2.85,60,0.51,70.0,11,40.0,40.0,30,10,1199.41
5.29,4.94,3.45,60,0.75,80.0,13,30.0,40.0,20,60,1205.7
4.47,4.33,2.94,60,0.52,90.0,2,40.0,40.0,30,40,1207.12
4.77,4.43,2.99,60,0.52,50.0,5,40.0,40.0,30,20,1211.61
5.0,4.64,3.15,60,0.65,80.0,16,40.0,40.0,40,40,1212.41
4.59,4.45,3.01,60,0.53,80.0,11,40.0,40.0,30,10,1213.74
4.83,4.56,3.08,60,0.57,50.0,2,40.0,40.0,20,40,1214.05
4.44,4.43,3.01,60,0.5,70.0,5,40.0,40.0,30,40,1214.62
4.55,4.4,2.98,60,0.5,80.0,11,40.0,40.0,30,40,1215.54
4.93,4.16,2.79,60,0.47,50.0,12,40.0,40.0,20,10,1217.29
5.13,4.13,2.8,60,0.5,50.0,1,40.0,30.0,20,10,1226.85
5.8,4.64,3.15,60,0.71,60.0,10,40.0,40.0,40,10,1230.89
4.44,4.42,2.98,60,0.5,60.0,5,40.0,40.0,30,20,1231.96
5.62,5.27,3.56,60,0.9,50.0,6,40.0,40.0,40,60,1237.55
4.44,4.41,2.95,60,0.5,50.0,2,40.0,40.0,30,20,1241.42
4.7,4.37,2.97,60,0.51,50.0,11,40.0,40.0,30,10,1286.16
4.72,4.43,3.0,60,0.56,40.0,2,40.0,20.0,20,20,1286.93
4.6,4.49,3.03,60,0.52,90.0,5,40.0,40.0,30,20,1292.65
4.24,4.16,2.68,60,0.42,90.0,2,40.0,40.0,20,40,1293.39
5.91,5.05,3.52,60,0.9,40.0,6,30.0,40.0,30,20,1295.14
4.66,4.62,3.13,60,0.6,90.0,2,40.0,40.0,30,40,1298.13
4.57,4.45,2.98,60,0.51,50.0,3,40.0,40.0,40,60,1299.02
4.89,4.25,2.85,60,0.5,70.0,3,30.0,40.0,30,10,1301.12
5.31,4.83,3.27,60,0.7,50.0,13,40.0,40.0,30,10,1303.27
4.57,4.35,2.88,60,0.5,50.0,2,40.0,30.0,20,20,1303.67
6.12,4.9,3.34,60,0.85,60.0,6,40.0,40.0,40,60,1311.39
4.93,4.26,2.85,60,0.5,50.0,5,40.0,40.0,30,20,1313.99
5.04,4.82,3.37,60,0.71,80.0,13,30.0,40.0,30,10,1315.61
4.97,4.21,2.81,60,0.5,50.0,12,30.0,30.0,20,10,1315.83
4.71,4.29,2.9,60,0.5,50.0,14,40.0,30.0,30,20,1317.62
4.71,4.24,2.95,60,0.5,60.0,12,30.0,40.0,40,10,1584.58
5.01,4.31,2.84,60,0.51,60.0,3,40.0,40.0,30,10,1586.1
4.92,4.26,2.89,60,0.51,60.0,3,40.0,40.0,30,10,1586.1
4.84,4.46,3.02,60,0.55,50.0,1,40.0,40.0,40,10,1587.37
4.53,4.37,3.04,60,0.5,60.0,12,30.0,40.0,30,10,1587.87
5.18,4.49,3.05,60,0.59,50.0,3,40.0,40.0,30,10,1588.29
4.79,4.79,3.25,60,0.7,40.0,2,40.0,40.0,20,10,1588.43
4.73,4.39,2.98,60,0.53,50.0,12,40.0,40.0,30,10,1588.5
4.94,4.24,2.79,60,0.5,60.0,14,40.0,40.0,30,10,1590.29
4.56,4.38,2.97,60,0.5,70.0,3,40.0,40.0,40,10,1590.29
4.91,4.19,2.84,60,0.5,60.0,1,40.0,40.0,30,20,1591.24
4.74,4.39,2.86,60,0.5,60.0,1,30.0,40.0,30,10,1591.24
4.99,4.26,2.88,60,0.51,90.0,14,40.0,30.0,30,20,1592.88
4.93,4.24,2.85,60,0.5,70.0,1,40.0,40.0,30,20,1593.89
4.86,4.21,2.85,60,0.5,60.0,14,40.0,40.0,30,10,1594.52
4.38,4.34,2.72,60,0.43,50.0,6,40.0,40.0,30,40,683.22
4.55,4.38,2.97,60,0.52,70.0,16,40.0,40.0,30,40,718.92
4.86,4.23,2.87,60,0.5,50.0,6,40.0,40.0,30,20,725.32
4.51,4.47,2.98,60,0.5,60.0,6,30.0,40.0,20,10,771.13
4.94,4.27,2.88,60,0.5,80.0,6,40.0,40.0,30,20,772.88
4.51,3.85,2.68,60,0.4,60.0,7,30.0,40.0,30,40,795.69
4.03,3.88,2.67,60,0.34,50.0,2,40.0,30.0,30,40,803.43
4.64,4.57,3.19,60,0.59,60.0,17,30.0,40.0,20,10,807.91
4.92,4.27,2.89,60,0.51,50.0,10,40.0,40.0,30,20,816.68
4.72,4.23,2.95,60,0.5,90.0,13,30.0,40.0,30,60,822.17
4.7,4.24,2.93,60,0.5,70.0,7,30.0,40.0,30,20,830.89
4.69,4.32,2.95,60,0.51,70.0,13,30.0,40.0,20,10,839.64
4.91,4.19,2.89,60,0.5,70.0,6,30.0,40.0,30,20,840.29
4.82,4.72,3.09,60,0.61,40.0,9,40.0,40.0,10,20,847.83
5.02,4.23,2.88,60,0.52,50.0,13,40.0,40.0,30,10,869.06
5.42,5.05,3.42,60,0.8,60.0,6,40.0,40.0,40,10,1358.39
5.01,4.12,2.79,60,0.51,50.0,2,40.0,40.0,30,10,1358.98
4.93,4.26,2.87,60,0.5,70.0,11,40.0,40.0,30,10,1361.35
4.62,4.46,2.97,60,0.5,40.0,12,40.0,40.0,20,10,1363.32
4.75,4.28,2.9,60,0.51,60.0,2,40.0,20.0,20,10,1364.27
4.97,4.24,2.87,60,0.5,60.0,3,40.0,40.0,30,10,1365.18
4.71,4.51,3.04,60,0.53,70.0,5,40.0,40.0,30,10,1365.72
4.61,4.43,2.95,60,0.5,60.0,3,40.0,30.0,30,20,1366.08
4.63,4.43,2.97,60,0.51,70.0,5,40.0,40.0,40,40,1373.97
5.03,4.17,2.83,60,0.5,50.0,14,40.0,30.0,30,10,1374.14
5.06,4.23,2.84,60,0.5,50.0,14,40.0,40.0,30,10,1374.14
5.08,4.31,2.87,60,0.52,100.0,5,40.0,40.0,30,10,1374.36
4.52,4.35,2.93,60,0.5,60.0,5,40.0,40.0,30,10,1377.17
4.7,4.27,2.9,60,0.5,50.0,5,40.0,40.0,40,20,1377.4
4.43,4.4,3.07,60,0.5,50.0,14,30.0,40.0,20,10,1378.21
4.82,4.42,2.89,60,0.52,50.0,1,40.0,40.0,40,20,1607.14
4.62,4.48,3.01,60,0.52,60.0,3,40.0,40.0,30,20,1607.14
4.58,4.39,2.96,60,0.5,60.0,14,40.0,30.0,30,10,1607.19
5.25,5.08,3.52,60,0.8,80.0,7,30.0,30.0,30,10,1607.28
4.96,4.31,2.83,60,0.52,60.0,1,40.0,40.0,40,20,1607.9
6.27,5.43,3.63,60,1.02,40.0,13,40.0,40.0,40,40,1609.43
4.59,4.38,2.97,60,0.5,60.0,14,40.0,40.0,30,10,1609.73
4.86,4.22,2.85,60,0.5,70.0,12,40.0,30.0,30,10,1610.67
6.04,5.09,3.42,60,0.9,60.0,2,40.0,40.0,30,10,1611.08
4.56,4.47,3.12,60,0.56,40.0,2,40.0,40.0,20,20,1611.85
4.92,4.83,3.37,60,0.7,70.0,7,30.0,40.0,20,10,1612.09
5.35,5.01,3.38,60,0.76,70.0,7,40.0,40.0,30,10,1612.64
4.92,4.25,2.82,60,0.5,60.0,1,40.0,40.0,20,10,1613.14
5.16,4.9,3.0,60,0.63,90.0,2,40.0,40.0,30,40,1615.89
4.67,4.53,3.05,60,0.53,90.0,3,40.0,40.0,40,20,1616.37
4.86,4.22,2.87,60,0.51,60.0,3,40.0,40.0,30,10,1335.2
4.53,4.47,2.98,60,0.5,60.0,3,40.0,40.0,20,10,1339.21
5.55,4.79,3.25,60,0.72,40.0,3,40.0,40.0,30,10,1339.21
4.74,4.32,2.94,60,0.51,50.0,3,40.0,40.0,40,10,1339.58
4.87,4.17,2.83,60,0.5,60.0,3,40.0,30.0,30,60,1341.05
4.64,4.42,3.02,60,0.49,60.0,12,30.0,40.0,20,10,1345.05
5.2,4.17,2.73,60,0.51,50.0,3,40.0,40.0,30,10,1349.01
5.29,4.85,3.3,60,0.75,60.0,8,40.0,40.0,30,10,1349.47
5.08,4.25,2.88,60,0.52,90.0,11,40.0,40.0,30,10,1349.52
4.74,4.7,3.37,60,0.7,90.0,8,30.0,40.0,30,10,1350.65
4.73,4.32,2.92,60,0.51,90.0,5,40.0,40.0,30,10,1352.82
4.78,4.37,2.94,60,0.51,60.0,3,40.0,40.0,30,20,1352.98
4.72,4.44,3.0,60,0.52,90.0,5,40.0,40.0,30,20,1354.57
4.92,4.39,2.92,60,0.55,80.0,2,40.0,40.0,30,10,1357.61
5.05,4.26,2.79,60,0.5,50.0,1,40.0,40.0,30,10,1358.27
4.86,4.48,2.84,60,0.5,60.0,1,40.0,40.0,40,40,1489.94
4.76,4.09,2.82,60,0.46,80.0,4,40.0,40.0,30,20,1490.97
4.47,4.27,3.05,60,0.5,70.0,3,20.0,40.0,30,10,1491.53
5.01,4.32,2.93,60,0.53,50.0,1,40.0,40.0,30,10,1495.95
5.08,4.39,2.97,60,0.56,60.0,14,40.0,40.0,30,20,1497.14
4.92,4.26,2.84,60,0.5,80.0,3,40.0,40.0,30,20,1498.19
5.0,5.0,3.39,60,0.71,70.0,7,40.0,40.0,40,20,1498.58
5.48,5.35,3.64,60,0.9,40.0,6,40.0,40.0,40,20,1499.06
5.02,4.37,2.94,60,0.52,60.0,12,40.0,40.0,30,10,1499.35
4.47,4.43,3.0,60,0.5,70.0,3,40.0,40.0,30,10,1502.48
4.88,4.23,2.85,60,0.5,50.0,12,40.0,40.0,30,10,1502.54
4.69,4.51,3.08,60,0.59,60.0,2,30.0,30.0,20,40,1502.6
5.26,5.19,3.19,60,0.78,70.0,17,40.0,40.0,30,40,1507.24
4.66,4.48,3.03,60,0.53,90.0,5,40.0,40.0,40,10,1509.58
4.72,4.32,2.94,60,0.5,70.0,3,40.0,40.0,40,10,1511.28
5.04,4.53,3.03,60,0.6,70.0,2,40.0,40.0,30,40,1450.63
4.67,4.39,2.96,60,0.5,50.0,14,40.0,40.0,30,10,1451.86
4.75,4.33,2.93,60,0.51,50.0,14,40.0,40.0,40,10,1453.32
4.48,4.36,2.96,60,0.5,70.0,14,40.0,40.0,30,40,1453.33
4.76,4.35,2.93,60,0.52,80.0,5,40.0,40.0,40,10,1457.11
5.01,4.24,2.87,60,0.51,80.0,5,40.0,40.0,40,10,1457.64
5.84,5.55,3.75,60,1.0,40.0,13,40.0,40.0,40,10,1458.21
5.19,4.86,3.3,60,0.7,50.0,11,40.0,40.0,20,10,1458.27
4.93,4.21,2.9,60,0.5,70.0,3,30.0,40.0,30,20,1459.48
5.47,5.3,3.5,60,0.81,40.0,13,40.0,40.0,40,20,1462.03
4.77,4.38,2.89,60,0.5,60.0,12,30.0,40.0,30,10,1462.04
5.17,5.11,3.56,60,0.8,50.0,7,30.0,40.0,40,10,1462.09
4.84,4.21,2.85,60,0.5,50.0,1,40.0,40.0,40,10,1462.71
5.24,5.23,3.76,60,0.9,50.0,13,20.0,40.0,40,10,1463.08
5.32,5.07,3.53,60,0.8,80.0,13,30.0,40.0,30,20,1463.46
4.5,4.36,2.84,60,0.5,40.0,2,40.0,30.0,20,20,1108.29
4.71,4.33,2.94,60,0.5,80.0,11,40.0,40.0,30,10,1127.33
4.76,4.37,2.96,60,0.51,70.0,11,40.0,40.0,30,40,1129.73
4.6,4.43,3.0,60,0.51,60.0,11,40.0,40.0,40,10,1131.6
4.67,4.23,2.95,60,0.5,50.0,2,40.0,40.0,30,20,1133.99
4.52,4.42,2.98,60,0.5,60.0,11,40.0,30.0,30,10,1136.92
4.76,4.33,2.89,60,0.5,40.0,11,40.0,40.0,30,10,1137.73
4.78,4.38,2.94,60,0.5,70.0,8,40.0,40.0,30,10,1142.44
4.47,4.32,2.99,60,0.5,70.0,5,30.0,40.0,30,10,1142.87
4.97,4.18,2.85,60,0.5,90.0,11,40.0,40.0,30,60,1142.87
4.6,4.4,2.99,60,0.52,50.0,2,40.0,30.0,30,60,1142.98
5.45,5.42,3.64,60,0.91,40.0,10,40.0,40.0,30,20,1143.58
5.21,5.11,3.43,60,0.76,50.0,6,40.0,40.0,40,10,1148.68
5.89,5.63,3.53,60,1.01,20.0,2,40.0,30.0,30,10,1155.27
5.1,4.72,3.2,60,0.7,80.0,8,40.0,40.0,30,10,1156.64
5.59,4.89,3.37,60,0.8,60.0,7,30.0,40.0,30,10,1594.88
4.64,4.49,3.02,60,0.56,90.0,2,40.0,40.0,30,10,1595.8
4.86,4.55,2.93,60,0.56,80.0,2,40.0,40.0,30,20,1597.73
6.43,5.39,3.85,60,1.2,40.0,17,20.0,40.0,30,20,1599.33
5.22,4.26,2.84,60,0.52,60.0,3,40.0,40.0,30,10,1600.87
5.08,4.95,3.33,60,0.7,40.0,11,40.0,40.0,30,20,1601.56
5.44,5.17,3.51,60,0.82,60.0,13,40.0,30.0,40,40,1603.42
5.23,4.72,3.29,60,0.7,40.0,3,30.0,40.0,30,10,1603.54
5.17,4.78,3.29,60,0.7,40.0,11,30.0,40.0,40,10,1604.51
5.23,4.83,3.28,60,0.7,40.0,3,40.0,40.0,30,10,1604.7
4.99,4.28,2.87,60,0.5,60.0,12,40.0,40.0,30,10,1604.79
4.56,4.51,3.06,60,0.53,100.0,14,40.0,40.0,30,20,1604.91
4.78,4.26,2.88,60,0.52,30.0,2,40.0,30.0,20,10,1605.23
5.21,4.53,3.06,60,0.6,50.0,3,40.0,40.0,40,20,1605.5
4.81,4.62,3.13,60,0.59,70.0,5,40.0,30.0,30,10,1606.66
4.77,4.41,2.97,60,0.52,80.0,3,40.0,40.0,40,10,1621.05
5.1,4.69,3.26,60,0.7,30.0,2,40.0,40.0,30,10,1623.88
4.7,4.24,2.95,60,0.5,60.0,1,30.0,40.0,30,10,1624.52
5.61,5.31,3.59,60,0.9,40.0,7,40.0,40.0,40,60,1626.73
4.76,4.33,2.94,60,0.51,70.0,14,40.0,40.0,40,10,1627.21
5.77,5.51,3.75,60,1.01,50.0,2,40.0,40.0,20,20,1628.78
4.68,4.37,2.95,60,0.51,60.0,14,40.0,40.0,40,10,1628.99
5.04,4.17,2.83,60,0.5,70.0,1,40.0,40.0,20,20,1630.65
4.8,4.55,3.08,60,0.6,50.0,2,40.0,30.0,30,10,1630.85
4.21,5.16,3.05,60,0.6,60.0,2,20.0,30.0,20,60,1633.21
5.53,4.81,3.26,60,0.72,60.0,11,40.0,40.0,30,20,1634.37
4.96,4.29,2.79,60,0.5,60.0,1,40.0,40.0,30,10,1635.95
4.82,4.14,2.87,60,0.5,60.0,1,30.0,40.0,30,10,1635.95
5.24,4.84,3.29,60,0.7,40.0,3,40.0,40.0,30,20,1638.4
4.59,4.39,2.98,60,0.52,60.0,14,40.0,40.0,30,10,1640.38
4.73,4.31,2.92,60,0.51,70.0,12,40.0,40.0,30,10,1555.63
4.81,4.18,2.9,60,0.5,60.0,12,30.0,40.0,30,10,1555.8
4.83,4.67,3.18,60,0.61,70.0,2,40.0,20.0,30,20,1556.58
5.22,4.67,3.34,60,0.7,40.0,1,20.0,40.0,30,10,1558.52
5.03,4.35,2.92,60,0.53,70.0,14,40.0,40.0,30,10,1560.02
5.05,4.86,3.39,60,0.7,80.0,7,30.0,40.0,30,20,1562.27
4.45,4.39,3.05,60,0.51,60.0,4,30.0,40.0,40,40,1563.76
4.39,4.36,2.96,60,0.5,70.0,1,40.0,40.0,40,40,1564.23
5.64,5.39,3.6,60,0.9,50.0,6,40.0,40.0,30,20,1565.85
4.39,4.37,3.02,60,0.5,70.0,3,30.0,40.0,30,10,1565.95
5.44,4.72,3.2,60,0.7,50.0,11,40.0,40.0,30,10,1566.21
5.48,5.1,3.4,60,0.81,30.0,2,40.0,30.0,30,20,1567.03
4.56,4.37,2.96,60,0.51,80.0,2,40.0,40.0,20,10,1567.08
6.07,4.86,3.28,60,0.81,50.0,13,40.0,40.0,40,20,1568.43
5.34,4.34,2.95,60,0.59,50.0,3,40.0,40.0,30,10,1570.42
4.51,4.47,3.03,60,0.52,60.0,14,40.0,40.0,20,10,1526.14
5.01,4.3,2.92,60,0.52,50.0,1,40.0,40.0,30,10,1527.1
4.95,4.29,2.89,60,0.51,80.0,14,40.0,40.0,30,10,1528.28
4.89,4.17,2.92,60,0.5,60.0,12,30.0,40.0,30,10,1529.65
4.62,4.52,2.94,60,0.53,80.0,2,40.0,30.0,20,40,1530.67
4.62,4.36,2.96,60,0.5,70.0,3,40.0,40.0,30,10,1531.28
4.58,4.41,2.94,60,0.5,70.0,12,40.0,40.0,30,40,1533.78
4.47,4.38,3.01,60,0.5,60.0,3,30.0,40.0,40,10,1533.84
5.12,4.89,3.27,60,0.71,80.0,7,40.0,40.0,30,10,1534.18
4.63,4.42,2.94,60,0.51,60.0,2,40.0,40.0,20,10,1534.45
6.24,5.27,3.66,60,1.0,50.0,6,30.0,40.0,30,20,1534.49
5.35,4.73,3.29,60,0.7,50.0,11,30.0,40.0,30,10,1537.65
5.0,4.33,2.94,60,0.53,60.0,3,40.0,30.0,30,10,1541.11
4.73,4.45,3.01,60,0.52,50.0,1,40.0,40.0,40,10,1542.87
4.75,4.31,2.93,60,0.5,60.0,14,40.0,40.0,40,10,1544.19
5.61,5.11,3.57,60,0.9,40.0,7,30.0,40.0,30,20,1514.71
4.71,4.25,2.88,60,0.51,50.0,2,40.0,40.0,30,20,1515.05
4.76,4.62,3.12,60,0.59,50.0,3,40.0,40.0,30,10,1515.87
5.52,4.78,3.22,60,0.72,40.0,3,40.0,40.0,30,10,1516.09
4.97,4.32,2.93,60,0.52,50.0,1,40.0,40.0,30,10,1517.4
4.75,4.29,2.89,60,0.5,60.0,12,30.0,40.0,30,10,1518.67
4.9,4.23,2.87,60,0.5,80.0,3,40.0,30.0,20,10,1519.31
4.74,4.32,2.92,60,0.5,90.0,14,40.0,40.0,30,20,1521.74
5.15,4.17,2.81,60,0.5,50.0,12,40.0,40.0,30,10,1522.74
4.73,4.31,2.9,60,0.5,90.0,14,40.0,40.0,30,40,1524.32
5.2,4.31,2.91,60,0.53,60.0,12,40.0,40.0,30,40,1525.01
4.51,4.48,3.03,60,0.51,90.0,3,40.0,40.0,30,10,1525.77
5.62,4.8,3.24,60,0.73,60.0,7,40.0,40.0,40,10,1525.93
4.81,4.58,3.2,60,0.59,60.0,5,30.0,40.0,40,20,1570.48
4.74,4.28,2.96,60,0.5,60.0,14,30.0,30.0,30,10,1570.86
4.5,4.45,2.93,60,0.5,70.0,3,40.0,30.0,30,10,1571.02
4.98,4.7,3.18,60,0.66,80.0,2,40.0,40.0,30,20,1571.38
4.65,4.36,2.97,60,0.5,70.0,14,40.0,40.0,30,10,1572.63
5.54,4.8,3.26,60,0.73,50.0,7,40.0,40.0,40,10,1574.05
5.25,4.86,3.3,60,0.71,50.0,7,40.0,40.0,30,10,1574.07
4.82,4.49,3.12,60,0.56,60.0,3,30.0,40.0,40,10,1575.91
5.16,4.46,3.02,60,0.58,50.0,4,40.0,40.0,30,10,1579.27
6.28,5.12,3.47,60,0.91,90.0,6,40.0,40.0,40,10,1579.34
4.71,4.45,3.0,60,0.53,90.0,3,40.0,30.0,40,20,1581.98
5.86,5.02,3.4,60,0.85,70.0,13,40.0,40.0,40,20,1582.02
4.89,4.18,2.92,60,0.51,40.0,4,30.0,40.0,30,10,1582.12
4.96,4.3,2.91,60,0.51,60.0,1,40.0,40.0,20,10,1582.23
4.9,4.21,2.86,60,0.5,60.0,12,40.0,40.0,30,10,1584.58
4.61,4.51,3.01,60,0.52,80.0,11,40.0,40.0,40,10,1156.87
4.92,4.81,3.46,60,0.7,80.0,17,20.0,40.0,30,60,1160.33
4.53,4.49,3.01,60,0.5,60.0,3,40.0,40.0,30,70,1162.75
4.72,4.32,2.98,60,0.5,70.0,5,30.0,40.0,30,40,1163.62
4.45,4.35,3.05,60,0.5,70.0,5,30.0,40.0,30,10,1163.62
4.65,4.37,2.97,60,0.51,60.0,5,40.0,40.0,30,10,1165.07
4.65,4.45,3.02,60,0.52,60.0,5,40.0,40.0,30,20,1166.78
4.63,4.37,2.93,60,0.5,70.0,11,40.0,40.0,30,10,1178.31
4.94,4.29,2.89,60,0.51,60.0,11,40.0,40.0,30,10,1180.03
5.43,5.15,3.48,60,0.81,40.0,6,40.0,40.0,40,40,1186.09
5.41,4.71,3.14,60,0.7,60.0,13,30.0,40.0,30,20,1191.85
4.59,4.52,3.04,60,0.52,60.0,5,40.0,40.0,30,10,1194.64
5.1,4.22,2.84,60,0.5,60.0,5,40.0,30.0,30,10,1194.84
5.24,5.09,3.5,60,0.8,50.0,10,30.0,40.0,30,40,1196.5
5.05,4.37,2.96,60,0.55,80.0,11,40.0,40.0,30,60,1196.99
4.62,4.22,2.93,60,0.5,70.0,5,30.0,40.0,40,20,1244.88
5.47,5.03,3.42,60,0.8,50.0,6,40.0,40.0,30,20,1246.32
4.98,4.28,2.89,60,0.51,80.0,5,40.0,40.0,30,10,1251.5
4.47,4.39,3.07,60,0.5,50.0,5,30.0,40.0,30,10,1251.53
4.43,4.35,2.95,60,0.5,90.0,2,40.0,40.0,30,10,1255.25
4.56,4.37,2.96,60,0.5,50.0,2,40.0,40.0,20,40,1255.25
4.7,4.41,2.98,60,0.5,70.0,2,40.0,40.0,40,10,1257.85
5.2,5.03,3.41,60,0.77,60.0,6,40.0,40.0,30,10,1259.09
4.87,4.29,2.78,60,0.5,50.0,14,30.0,40.0,20,10,1259.15
4.63,4.34,3.03,60,0.5,60.0,3,30.0,30.0,30,10,1264.05
4.74,4.37,2.89,60,0.5,50.0,3,40.0,30.0,20,10,1273.41
4.76,4.41,2.99,60,0.53,70.0,2,40.0,40.0,30,10,1274.08
4.69,4.19,2.93,60,0.5,50.0,14,30.0,40.0,30,10,1276.9
4.56,4.49,2.94,60,0.53,80.0,2,40.0,40.0,30,40,1277.75
4.89,4.29,2.92,60,0.5,50.0,5,40.0,40.0,30,10,1281.88
5.0,4.21,2.8,60,0.5,90.0,12,40.0,40.0,30,60,1545.59
4.59,4.39,2.91,60,0.5,60.0,1,40.0,40.0,20,10,1546.52
4.54,4.41,2.99,60,0.51,90.0,14,40.0,40.0,30,40,1547.89
4.9,4.84,3.37,60,0.73,60.0,17,40.0,30.0,30,10,1548.26
5.32,5.04,3.42,60,0.8,80.0,13,40.0,40.0,30,10,1549.36
5.65,5.39,3.59,60,0.9,50.0,13,40.0,40.0,40,20,1550.22
5.69,5.19,3.52,60,0.9,70.0,13,40.0,40.0,30,20,1550.5
4.65,4.33,2.95,60,0.5,60.0,14,30.0,40.0,30,10,1551.42
4.74,4.31,2.92,60,0.5,70.0,3,40.0,40.0,30,10,1551.56
4.58,4.35,2.93,60,0.5,60.0,3,40.0,40.0,30,10,1552.3
5.58,4.6,3.12,60,0.71,70.0,2,40.0,40.0,30,40,1553.75
5.97,5.42,3.68,60,1.06,40.0,7,40.0,30.0,30,10,1553.91
5.39,5.12,3.47,60,0.8,50.0,13,40.0,40.0,30,10,1554.79
5.83,4.89,3.31,60,0.81,50.0,7,40.0,40.0,40,10,1554.99
