Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
1781504,OVAL,0.59,VVS2,E,EX,EX,VG,M,6.97-4.60×2.85,"2,143.77"
1776472,OVAL,0.6,VS2,D,EX,EX,VG,ST,7.40-4.67×2.71,"2,144.12"
210345-545,OVAL,1,SI2,L,EX,EX,VG,ST,7.89-5.51×3.35,"2,145.16"
1782936,OVAL,0.53,VS1,F,EX,EX,VG,N,6.99-4.48×2.64,"2,146.49"
1779921,OVAL,0.59,VVS1,E,EX,EX,VG,M,6.55-4.65×2.91,"2,149.05"
1407964,OVAL,0.71,SI1,FANCY,EX,VG,GD,ST,7.69-4.96×2.98,"2,243.65"
1774439,OVAL,0.56,VS1,F,EX,EX,VG,N,6.86-4.55×2.78,"2,244.08"
211176-407,OVAL,0.96,SI2,J,EX,EX,EX,N,8.44-5.37×3.31,"2,244.39"
1634425,OVAL,0.59,VVS1,G,EX,EX,VG,N,7.27-4.63×2.72,"2,246.26"
1791828,OVAL,0.7,SI1,J,EX,VG,VG,N,6.97-5.08×3.05,"2,247.53"
1793274,OVAL,0.7,SI2,I,EX,EX,VG,F,7.45-4.87×2.92,"2,248.78"
1660421,OVAL,0.65,VS1,G,EX,VG,VG,M,6.86-5.05×2.92,"2,250.86"
1668335,OVAL,0.72,VS2,J,EX,EX,VG,F,7.56-4.93×3.03,"2,253.06"
1781540,OVAL,0.59,VS2,D,EX,EX,GD,N,7.29-4.65×2.75,"2,255.71"
210064-54,OVAL,1,SI1,N,EX,EX,VG,ST,8.27-5.55×3.42,"2,256.01"
1798754,OVAL,0.67,VS2,E,EX,EX,GD,ST,6.80-5.02×3.04,"2,257.32"
1657892,OVAL,0.55,VVS2,F,EX,EX,EX,N,6.75-4.45×2.80,"2,259.15"
1764017,OVAL,0.7,SI2,I,EX,EX,VG,N,6.65-4.96×3.11,"2,259.29"
1788054,OVAL,0.7,SI1,I,EX,EX,VG,N,6.78-5.06×3.18,"2,259.45"
1634423,OVAL,0.53,VVS1,E,EX,EX,VG,N,6.72-4.46×2.73,"2,262.98"
1672928,OVAL,0.75,SI2,J,EX,EX,VG,N,8.00-5.02×2.92,"2,355.76"
1628432,OVAL,0.8,SI1,J,EX,EX,VG,F,7.97-4.99×3.04,"2,358.48"
1800836,OVAL,0.7,SI1,I,GD,VG,GD,N,7.30-4.64×2.89,"2,358.80"
202221-254,OVAL,1,SI2,L,EX,EX,VG,F,8.55-5.51×3.33,"2,361.00"
1778662,OVAL,0.8,SI2,J,EX,EX,VG,F,7.05-5.27×3.32,"2,362.08"
1632914,OVAL,0.7,SI1,I,EX,EX,VG,N,7.39-4.87×3.01,"2,363.37"
Eco Diamond LG200379,OVAL,0.9,SI1,D,VG,VG,VG,N,7.41X5.50X3.51,"2,364.86"
1785409,OVAL,0.65,VS1,H,VG,EX,VG,N,7.51-4.71×2.79,"2,364.87"
212052-333,OVAL,1,SI2,L,EX,EX,VG,N,8.33-5.51×3.40,"2,366.05"
200669-13,OVAL,1.01,SI2,G,GD,VG,VG,N,7.35-5.50×3.52,"2,366.59"
200648-121,OVAL,1.29,SI2,M,EX,EX,VG,ST,8.81-5.93×3.65,"2,367.85"
1672926,OVAL,0.7,SI2,H,EX,VG,VG,N,6.96-5.12×3.09,"2,368.35"
Eco Diamond 425071044,OVAL,1.01,SI1,E,VG,VG,N/A,N,7.45 – 5.69 x 3.58 mm,"2,371.01"
210480-110,OVAL,1,VS2,N,EX,EX,VG,M,7.62-5.63×3.53,"2,371.14"
1782901,OVAL,0.52,IF,D,EX,EX,VG,F,6.73-4.44×2.72,"2,374.47"
1785403,OVAL,0.53,VS1,D,EX,EX,VG,N,6.25-4.67×2.83,"2,232.52"
1667354,OVAL,0.61,VVS1,E,EX,EX,VG,ST,6.55-4.80×3.01,"2,232.76"
1759381,OVAL,0.77,SI1,J,EX,EX,VG,F,7.61-5.03×3.08,"2,236.75"
203221-1598,OVAL,1.02,SI1,L,EX,VG,VG,ST,7.84-5.74×3.48,"2,237.16"
1782942,OVAL,0.59,VS1,G,EX,EX,GD,N,7.00-4.63×2.85,"2,237.49"
111000-6305,OVAL,1,SI2,U-V,EX,EX,VG,M,8.47-5.39×3.42,"2,237.73"
200630-348,OVAL,1,SI2,I,EX,VG,VG,N,7.95-5.56×3.45,"2,237.86"
210318-93,OVAL,1,SI2,K,VG,EX,VG,F,8.08-5.67×3.32,"2,239.27"
1672925,OVAL,0.7,SI2,F,EX,EX,VG,F,7.10-5.03×3.00,"2,240.16"
1766992,OVAL,0.9,SI1,L,EX,EX,VG,F,7.33-5.47×3.38,"2,240.77"
210199-25,OVAL,1.02,VVS2,W-X,EX,EX,VG,F,7.27-5.36×3.45,"2,241.07"
1664766,OVAL,0.81,VS2,FANCY,EX,EX,VG,M,7.53-4.91×2.96,"2,242.06"
1668337,OVAL,0.72,SI1,J,EX,EX,EX,N,6.92-5.09×3.11,"2,243.22"
1589651,OVAL,0.7,SI1,I,EX,EX,VG,N,7.78-4.93×2.87,"2,243.55"
