Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
210267-64,CUSHION,1.03,IF,I,EX,EX,EX,N,5.72-5.58×3.75,"4,993.69"
200781-157,CUSHION,1,VS2,G,EX,EX,EX,N,5.88-5.41×3.67,"4,994.60"
201218-134,CUSHION,1.2,SI1,D,VG,VG,GD,N,6.19-5.67×3.97,"5,000.80"
210217-31,CUSHION,1.51,VS1,K,VG,EX,EX,F,6.60-6.13×4.27,"5,002.00"
200764-730,CUSHION,1.01,SI1,F,EX,VG,VG,N,5.83-5.58×3.79,"5,002.73"
210350-116,CUSHION,1,VS2,H,EX,EX,VG,N,6.32-5.20×3.53,"5,005.46"
212073-223,CUSHION,1.2,VS2,I,VG,EX,VG,N,5.88-5.88×4.11,"5,009.13"
213074-84,CUSHION,1,VS1,H,VG,EX,VG,N,5.86-5.40×3.78,"5,029.70"
212073-173,CUSHION,1,SI1,H,VG,EX,VG,N,5.75-5.39×3.77,"4,007.66"
200715-157,CUSHION,1.8,VS1,FANCY,EX,EX,EX,ST,6.92-6.77×4.44,"4,007.88"
1660156,CUSHION,0.9,VS1,G,EX,EX,VG,ST,5.50-5.31×3.60,"4,007.99"
1667125,CUSHION,0.9,VS1,G,EX,EX,VG,M,5.78-5.25×3.55,"4,007.99"
211007-740,CUSHION,1.01,VVS1,J,EX,EX,EX,N,5.90-5.56×3.72,"4,011.70"
200742-36,CUSHION,1.21,SI2,F,EX,EX,EX,N,6.26-5.88×4.00,"4,012.24"
1794019,CUSHION,0.9,VS2,H,EX,EX,EX,N,5.75-5.23×3.54,"4,012.80"
1663183,CUSHION,0.95,VS1,I,EX,EX,VG,N,6.33-5.16×3.51,"4,022.17"
1795563,CUSHION,0.92,VS2,H,VG,EX,VG,N,5.78-5.20×3.62,"4,028.10"
202237-302,CUSHION,1.2,SI1,I,EX,EX,VG,F,5.97-5.82×3.95,"4,029.32"
210001-1132,CUSHION,1,SI1,I,EX,EX,EX,N,5.79-5.46×3.72,"4,030.43"
210441-54,CUSHION,1.01,SI2,G,EX,EX,EX,N,5.88-5.50×3.73,"4,031.17"
212041-804,CUSHION,1,VS1,I,EX,EX,VG,F,5.70-5.46×3.72,"4,033.90"
210447-27,CUSHION,1.19,SI2,F,EX,VG,VG,N,6.05-5.84×3.94,"4,034.10"
212059-262,CUSHION,1.01,VS1,I,EX,EX,VG,F,5.85-5.37×3.65,"4,036.32"
211099-261,CUSHION,1.02,SI1,F,EX,EX,EX,N,5.66-5.64×3.81,"4,828.62"
200787-481,CUSHION,1.57,SI2,K,EX,EX,EX,N,6.61-6.45×4.36,"4,829.50"
201229-117,CUSHION,1.02,VS2,G,EX,EX,EX,F,6.07-5.54×3.76,"4,833.72"
1665770,CUSHION,0.91,VVS2,D,EX,EX,EX,ST,6.24-5.00×3.39,"4,837.05"
200650-48,CUSHION,1.01,VS1,G,EX,EX,VG,F,5.66-5.55×3.77,"4,838.19"
211153-70,CUSHION,1.03,VS2,G,EX,EX,VG,M,5.97-5.57×3.73,"4,839.80"
211099-265,CUSHION,1.01,VS2,H,EX,VG,VG,N,5.88-5.58×3.80,"4,844.01"
201231-130,CUSHION,1.2,VVS2,I,VG,EX,VG,M,5.90-5.81×4.07,"4,849.50"
210041-544,CUSHION,1.61,VVS2,W-X,EX,EX,EX,N,6.49-6.30×4.27,"4,854.47"
Eco Diamond LG200871,CUSHION,1.52,SI1,F,EX,EX,EX,N,6.69X6.63X4.42,"4,854.82"
201251-139,CUSHION,1.03,SI1,F,EX,EX,EX,N,6.08-5.54×3.74,"4,856.94"
200656-901,CUSHION,1.2,SI2,D,EX,EX,VG,N,6.29-5.77×3.91,"4,858.12"
210048-227,CUSHION,1.01,VS2,H,EX,EX,EX,F,6.14-5.32×3.62,"4,861.10"
201200-582,CUSHION,1.2,SI2,H,EX,EX,VG,F,6.68-5.69×3.77,"4,861.95"
201163-324,CUSHION,1.2,SI1,D,EX,EX,VG,M,6.17-5.81×3.95,"4,861.95"
210030-216,CUSHION,0.96,SI1,F,EX,EX,VG,N,5.86-5.45×3.60,"4,324.44"
210492-7,CUSHION,1.01,VS1,I,EX,EX,EX,N,5.98-5.44×3.68,"4,331.75"
200771-446,CUSHION,1.2,I1,D,VG,EX,VG,M,6.37-5.73×3.80,"4,338.46"
210544-13,CUSHION,1,SI1,H,EX,EX,EX,N,5.64-5.59×3.72,"4,338.90"
200752-38,CUSHION,0.96,VS2,G,VG,EX,VG,N,5.87-5.30×3.61,"4,340.03"
200705-4,CUSHION,6.02,VS2,FANCY,EX,EX,VG,F,9.98-9.85×6.66,"48,445.27"
200704-11,CUSHION,3.02,VVS2,D,EX,EX,EX,M,8.29-8.07×5.47,"49,075.34"
200807-308,CUSHION,3.02,VS2,D,EX,EX,EX,F,8.61-7.83×5.30,"49,149.09"
200705-12,CUSHION,3.11,VVS1,FANCY,EX,EX,VG,N,8.06-7.87×5.35,"49,865.46"
201196-17,CUSHION,3,VVS1,D,EX,EX,EX,ST,8.33-8.03×5.32,"52,929.74"
200803-42,CUSHION,3.2,VS1,F,VG,EX,EX,N,8.52-8.35×5.82,"55,408.52"
201127-85,CUSHION,4.01,VS2,E,EX,EX,VG,ST,9.34-8.70×5.76,"64,580.56"
200518-333,CUSHION,4.01,VS2,G,EX,EX,EX,M,9.42-8.98×6.07,"64,733.52"
201037-161,CUSHION,3.09,FL,E,EX,EX,EX,F,8.61-8.23×5.36,"64,896.07"
1754997,CUSHION,0.91,I1,FANCY,EX,EX,VG,N,5.50-5.22×3.51,"67,570.37"
201196-11,CUSHION,4,VVS2,G,EX,VG,VG,M,9.21-8.59×5.84,"67,616.14"
200705-2,CUSHION,4.05,VS1,FANCY,EX,EX,VG,N,9.27-8.28×5.79,"68,738.52"
