Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
1672954,PEAR,0.9,SI1,G,VG,VG,VG,N,8.05-5.35×3.35,"4,396.73"
211105-204,PEAR,1,SI2,G,GD,EX,VG,N,7.91-5.42×3.55,"4,397.38"
211132-77,PEAR,1.51,VS2,M,EX,EX,VG,F,10.09-6.24×3.92,"4,408.70"
1800283,PEAR,0.37,VS2,I,EX,VG,VG,F,6.52-4.01×2.35,897.69
1610172,PEAR,0.52,VS2,K,EX,EX,VG,F,6.96-4.54×2.83,897.87
1791869,PEAR,0.3,VS2,E,GD,VG,FR,N,5.41-3.76×2.40,899.25
1790021,PEAR,0.3,SI1,E,VG,EX,GD,N,5.80-3.68×2.34,899.27
1785624,PEAR,0.35,SI1,H,EX,VG,VG,F,6.06-4.01×2.42,899.94
1785620,PEAR,0.3,SI1,F,VG,EX,VG,N,6.04-3.68×2.29,900.77
1764095,PEAR,0.32,SI1,F,EX,VG,GD,N,6.33-3.77×2.22,900.97
1785610,PEAR,0.3,VS2,H,VG,EX,VG,N,5.78-3.66×2.28,901.31
1785623,PEAR,0.31,SI1,G,EX,EX,VG,N,5.82-3.82×2.39,902.26
1772695,PEAR,0.31,VS1,G,EX,EX,VG,M,5.68-3.83×2.33,902.31
1628581,PEAR,0.52,VVS2,M,EX,EX,EX,N,6.91-4.49×2.83,902.4
1771661,PEAR,0.3,VVS2,E,VG,EX,GD,F,5.80-3.92×2.36,903.31
1775581,PEAR,0.3,SI1,E,EX,EX,VG,N,5.75-3.80×2.37,903.81
1775572,PEAR,0.3,VS2,D,VG,EX,GD,N,5.54-3.72×2.30,904.91
1771680,PEAR,0.3,VS2,D,VG,EX,VG,M,5.55-3.73×2.38,904.91
1774552,PEAR,0.5,VS2,D,GD,VG,GD,M,6.37-4.12×2.87,"1,575.99"
1785514,PEAR,0.5,SI1,D,VG,EX,VG,F,6.55-4.41×2.76,"1,576.77"
1794706,PEAR,0.5,VVS2,I,GD,EX,GD,N,6.67-4.22×2.64,"1,576.79"
1759427,PEAR,0.5,SI1,D,VG,EX,GD,N,6.54-4.41×2.77,"1,578.46"
